tier_group,day_group,booking_window,Occupancy Band,occupancy_min_pct,occupancy_max_pct,Urgency Breakdown,Tier after movement scale,Calculated Tier,rate_1,rate_2,rate_3,rate_4,rate_5,rate_6,rate_7,rate_8,rate_9,rate_10
T4-T6,Thu-Sun,60-120 Days (W6),0-20,0,20,,T4-T6,T4,$362 ,$303 ,$244 ,223,194,206,212,0,0,0
T4-T6,Thu-Sun,60-120 Days (W6),21-30,21,30,,T7-T9,T6,$430 ,$362 ,$273 ,262,227,242,248,0,0,0
T4-T6,Thu-Sun,60-120 Days (W6),31-50,31,50,,T7-T9,T8,$489 ,$420 ,$303 ,322,280,297,305,0,0,0
T4-T6,Thu-Sun,60-120 Days (W6),51-100,51,100,,T10-T12,T10,$548 ,$469 ,$342 ,356,309,329,337,0,0,0
T4-T6,Thu-Sun,46-59 Days (W5),0-10,0,10,,T4-T6,T4,$354 ,$297 ,$239 ,219,190,202,207,0,0,0
T4-T6,Thu-Sun,46-59 Days (W5),11-30,11,30,,T4-T6,T6,$421 ,$354 ,$268 ,257,223,237,243,0,0,0
T4-T6,Thu-Sun,46-59 Days (W5),31-50,31,50,,T7-T9,T8,$479 ,$412 ,$297 ,289,251,266,273,0,0,0
T4-T6,Thu-Sun,46-59 Days (W5),51-100,51,100,,T10-T12,T10,$537 ,$460 ,$335 ,337,293,310,319,0,0,0
T4-T6,Thu-Sun,31-45 Days (W4),0-10,0,10,,T4-T6,T4,$347 ,$290 ,$234 ,214,186,197,203,0,0,0
T4-T6,Thu-Sun,31-45 Days (W4),11-30,11,30,,T4-T6,T6,$413 ,$347 ,$262 ,252,218,232,238,0,0,0
