tier_group,day_group,booking_window,Occupancy Band,occupancy_min_pct,occupancy_max_pct,Urgency Breakdown,Tier after movement scale,Calculated Tier,rate_1,rate_2,rate_3,rate_4,rate_5,rate_6,rate_7
T7-T9,Mon-Wed,>100 Days (W5),0-25%,0,25,,,T9,$308,$338,$372,$409,$450,$495,$532
T7-T9,Mon-Wed,>100 Days (W5),26-40%,26,40,,,T10,$348,$383,$421,$464,$510,$561,$603
T7-T9,Mon-Wed,>100 Days (W5),41-80%,41,80,,,T11,$394,$434,$477,$525,$578,$635,$683
T7-T9,Mon-Wed,>100 Days (W5),80-100%,80,100,,,T13,$491,$540,$594,$653,$718,$790,$849
T7-T9,Thu-Sun,>100 Days (W5),0-25%,0,25,,,T9,$369,$406,$447,$491,$540,$594,$638
T7-T9,Thu-Sun,>100 Days (W5),26-40%,26,40,,,T10,$418,$460,$506,$556,$612,$674,$723
T7-T9,Thu-Sun,>100 Days (W5),41-80%,41,80,,,T11,$474,$520,$572,$630,$693,$762,$818
T7-T9,Thu-Sun,>100 Days (W5),80-100%,80,100,,,T13,$589,$647,$713,$784,$862,$948,"$1,019"
T7-T9,Fri-Sat,>100 Days (W5),0-25%,0,25,,,T9,$443,$487,$536,$589,$648,$713,$766
T7-T9,Fri-Sat,>100 Days (W5),26-40%,26,40,,,T10,$502,$552,$607,$667,$734,$809,$868
T7-T9,Fri-Sat,>100 Days (W5),41-80%,41,80,,,T11,$568,$624,$687,$756,$832,$915,$983
T7-T9,Fri-Sat,>100 Days (W5),80-100%,80,100,,,T13,$706,$777,$856,$941,"$1,034","$1,138","$1,223"
T10-T12,Mon-Wed,0-13 Days (W1),0-14%,0,14,0-1,,T0,$120,$132,$145,$160,$176,$193,$208
T10-T12,Mon-Wed,0-13 Days (W1),0-14%,0,14,2-3,,T1,$134,$148,$163,$179,$197,$217,$233
T10-T12,Mon-Wed,0-13 Days (W1),0-14%,0,14,4-7,,T2,$151,$166,$183,$201,$221,$243,$261
T10-T12,Mon-Wed,0-13 Days (W1),0-14%,0,14,8-13,,T3,$170,$186,$205,$225,$248,$273,$293
T10-T12,Mon-Wed,0-13 Days (W1),15-33%,15,33,,,T4,$181,$199,$219,$241,$265,$292,$313
T10-T12,Mon-Wed,0-13 Days (W1),34-40%,34,40,,,T5,$205,$225,$248,$273,$300,$330,$354
T10-T12,Mon-Wed,0-13 Days (W1),41-60%,41,60,,,T6,$232,$255,$281,$309,$339,$373,$401
T10-T12,Mon-Wed,0-13 Days (W1),61-100%,61,100,,,T7,$262,$289,$317,$348,$383,$421,$453
T10-T12,Thu-Sun,0-13 Days (W1),0-14%,0,14,0-1,,T0,$144,$158,$174,$191,$211,$232,$249
T10-T12,Thu-Sun,0-13 Days (W1),0-14%,0,14,2-3,,T1,$161,$177,$195,$215,$236,$260,$280
T10-T12,Thu-Sun,0-13 Days (W1),0-14%,0,14,4-7,,T2,$181,$199,$219,$241,$265,$292,$314
T10-T12,Thu-Sun,0-13 Days (W1),0-14%,0,14,8-13,,T3,$203,$223,$246,$270,$297,$328,$351
T10-T12,Thu-Sun,0-13 Days (W1),14-33%,14,33,,,T4,$211,$232,$255,$281,$309,$339,$364
T10-T12,Thu-Sun,0-13 Days (W1),33-40%,33,40,,,T5,$232,$255,$281,$309,$339,$374,$401
T10-T12,Thu-Sun,0-13 Days (W1),40-60%,40,60,,,T6,$255,$281,$309,$339,$374,$411,$442
T10-T12,Thu-Sun,0-13 Days (W1),60-100%,60,100,,,T7,$281,$309,$339,$374,$411,$452,$486
T10-T12,Fri-Sat,0-13 Days (W1),0-14%,0,14,0-1,,T0,$173,$190,$209,$230,$253,$278,$299
T10-T12,Fri-Sat,0-13 Days (W1),0-14%,0,14,2-3,,T1,$194,$213,$235,$258,$283,$312,$335
T10-T12,Fri-Sat,0-13 Days (W1),0-14%,0,14,4-7,,T2,$217,$239,$263,$289,$319,$350,$376
T10-T12,Fri-Sat,0-13 Days (W1),0-14%,0,14,8-13,,T3,$244,$268,$295,$325,$357,$393,$421
T10-T12,Fri-Sat,0-13 Days (W1),14-33%,14,33,,,T4,$253,$278,$306,$337,$371,$408,$438
T10-T12,Fri-Sat,0-13 Days (W1),33-40%,33,40,,,T5,$278,$306,$337,$371,$408,$448,$481
T10-T12,Fri-Sat,0-13 Days (W1),40-60%,40,60,,,T6,$306,$337,$371,$408,$448,$493,$530
T10-T12,Fri-Sat,0-13 Days (W1),60-100%,60,100,,,T7,$337,$371,$408,$448,$493,$542,$582
T10-T12,Mon-Wed,14-33 Days (W2),0-16%,0,16,,,T8,$263,$290,$318,$350,$384,$423,$455
T10-T12,Mon-Wed,14-33 Days (W2),17-33%,17,33,,,T9,$298,$327,$360,$396,$436,$479,$515
T10-T12,Mon-Wed,14-33 Days (W2),34-50%,34,50,,,T10,$337,$371,$408,$448,$493,$543,$583
T10-T12,Mon-Wed,14-33 Days (W2),50-100%,50,100,,,T11,$381,$419,$461,$507,$558,$614,$660
T10-T12,Thu-Sun,14-33 Days (W2),0-16%,0,16,,,T8,$316,$347,$382,$420,$462,$508,$545
T10-T12,Thu-Sun,14-33 Days (W2),17-33%,17,33,,,T9,$357,$393,$433,$475,$523,$575,$618
T10-T12,Thu-Sun,14-33 Days (W2),34-50%,34,50,,,T10,$405,$445,$489,$538,$592,$652,$699
T10-T12,Thu-Sun,14-33 Days (W2),50-100%,50,100,,,T11,$458,$503,$553,$609,$670,$737,$791
